net,length_um
_06668_,256.695
_01029_,256.54
_09965_,256.24
_10800_,256.24
_10478_,256.205
_01778_,254.695
_01823_,254.545
_07895_,254.28
_00878_,253.95
_14362_,253.78
_00996_,253.4
_07202_,253.23
_06865_,253.1
_00881_,252.9
_02802_,252.86
_01009_,252.49
_14173_,252.46
_03261_,251.32
_02190_,251.25
_08056_,250.87
_07552_,250.83
_07796_,250.25
_12257_,250.1
_14290_,250.08
_02025_,250.04
_09332_,249.79
_14064_,249.64
_01120_,249.455
_14494_,249.41
_00534_,248.62
_14319_,247.78
_14321_,247.78
_01618_,245.38
_06833_,245.38
_05376_,245.32
_07381_,245.16
_08039_,244.96
_02163_,244.73
_06707_,244.46
_05550_,243.72
_01002_,243.71
_08760_,243.66
_01995_,243.65
_07126_,243.16
_01561_,242.845
_06736_,242.21
net43,241.94
_07227_,241.925
_07270_,241.83
_00707_,241.4
_08259_,241.29
_07716_,241.02
_05468_,240.92
_07823_,240.9
_00683_,240.71
_08346_,240.35
_01271_,240.16
_06957_,239.96
_01258_,239.66
_09309_,239.63
_14324_,239.6
_10167_,239.12
_07825_,238.9
_08138_,238.395
_13978_,237.98
_11085_,237.39
_14211_,237.05
_08906_,236.88
_02649_,236.46
_07325_,236.42
u_rom1.addr\[2\],236.32
_08636_,236.25
_14419_,236.215
_04191_,236.04
_00831_,236.02
_09816_,235.6
_02114_,235.45
_04328_,234.99
_09092_,234.92
_01562_,234.63
_12597_,234.05
_07067_,233.82
_09492_,233.58
_05985_,233.25
_06556_,233.06
u_rom1.addr\[1\],231.88
_07352_,231.75
_03752_,231.72
_09187_,231.64
_12977_,231.31
_02186_,231.27
_08895_,231.26
_01711_,231.03
_05149_,230.34
_09390_,229.96
_07528_,229.19
_00523_,228.78
_14190_,228.08
_09028_,227.93
_09407_,227.91
_10994_,227.76
_08736_,227.28
_13948_,227.24
_00520_,227.12
_09786_,226.71
_10937_,226.68
_02314_,226.58
_01209_,226.19
_01487_,225.76
_07520_,225.74
_10886_,225.58
_08997_,225.49
_00971_,225.375
_01280_,225.33
_10987_,225.06
_01003_,225.04
_14264_,224.98
_14300_,224.82
_14357_,224.8
_00578_,224.79
_12169_,224.4
_07889_,223.885
_14242_,223.61
_08855_,223.44
_08185_,222.98
_07742_,222.83
_01208_,222.55
_07034_,222.44
_06533_,222.22
_07556_,221.64
_00509_,221.59
_08669_,221.47
_03464_,221.42
_07382_,221.21
_07366_,221.16
_03004_,221.12
_08893_,221.015
_11043_,220.94
_14247_,220.705
_09335_,220.54
_03372_,220.42
_12880_,220.06
_06964_,220.015
_07105_,219.64
_07179_,219.47
_05454_,219.4
_00925_,219.1
_01353_,218.83
_08020_,218.59
_07576_,218.48
_06103_,218.34
_11335_,218.22
_04114_,218.12
_09644_,218.02
_05885_,217.96
_14246_,217.92
_07039_,217.8
_14014_,217.68
_12174_,217.62
_01106_,217.16
_06767_,216.86
_04714_,216.8
_00500_,216.74
_07429_,216.365
_07509_,216.34
_07690_,216
_02836_,215.72
u_rom1.addr\[0\],215.14
_01399_,215.05
_14382_,214.83
_02935_,214.77
_08993_,214.4
_00545_,214.27
_01140_,214.14
_03686_,214.02
_01257_,213.74
_11227_,213.72
_13942_,213.72
_05466_,213.28
_07798_,213.08
_02297_,213.06
_04468_,212.93
_07064_,212.91
_09087_,212.48
_01474_,212.38
_02733_,212.2
_01109_,212.11
_09333_,211.75
_00571_,211.19
_04895_,211.02
_11125_,211.02
_11087_,210.95
_03418_,210.32
_07085_,210.18
_03192_,210.15
_02244_,210.04
_01690_,210.02
_07851_,209.95
_14404_,209.9
_09729_,209.66
_10798_,209.33
_14305_,209.235
_07001_,208.92
_05775_,208.82
_14490_,208.455
_09953_,208.43
_14370_,208.39
_08574_,208.37
_05251_,208.29
_14345_,208.17
_02023_,208.08
_13402_,208.02
_09936_,207.94
_04616_,207.445
_05635_,207.36
_09574_,207
_07804_,206.89
_07831_,206.51
_07358_,206.455
_08847_,206.405
_02433_,206.29
_09719_,206.21
_14394_,205.96
_10019_,205.85
_08935_,205.8
_10081_,205.62
_02506_,205.44
_08416_,205.3
_14498_,205.27
_07723_,204.815
_02142_,204.69
_06932_,204.28
_12139_,203.85
_01713_,203.83
_11003_,203.78
_09144_,203.64
_06407_,203.2
_10889_,203.16
_01709_,202.55
_07060_,202.45
_13932_,202.36
_10957_,202.34
_12444_,202
_02735_,201.84
_09625_,201.82
_07486_,201.815
_09628_,201.76
_09935_,201.56
_03217_,201.48
_10864_,201.2
_07788_,200.67
_07354_,200.61
_02951_,200.54
_07359_,200.38
_02312_,200.34
_09299_,200.32
_07367_,200.28
_10552_,199.84
_02726_,199.83
net130,199.72
_07669_,199.7
_14172_,199.66
_02806_,199.52
_08021_,199.4
_09818_,199.4
_01398_,199.36
_06245_,199.04
_00990_,198.82
_01937_,198.68
_06445_,198.38
_08987_,198.34
_07692_,198.3
_14056_,197.92
_03000_,197.88
_14032_,197.86
_10038_,197.82
_00552_,197.74
_03321_,197.63
_14178_,197.29
_14249_,196.945
_02161_,196.88
_03535_,196.68
_01163_,196.67
_10034_,196.45
_06060_,196.38
_11274_,196.36
_07907_,196.28
_07630_,196.12
_01383_,195.98
_08796_,195.96
_08996_,195.88
_07029_,195.86
_07621_,195.78
_06440_,195.59
_02248_,195.37
_01739_,195.24
_10796_,195.1
_12818_,194.98
_08345_,194.96
_05636_,194.56
_01985_,194.48
_07517_,194.45
_00737_,194.4
_03111_,194.35
_07388_,194.16
_07187_,194.05
_08740_,194.02
_02710_,194.01
_02615_,193.94
_09651_,193.73
_07819_,193.71
_10771_,193.58
_13960_,193.58
_09484_,193.57
_07348_,193.56
_14254_,193.48
_05860_,193.45
_07595_,193.43
_13966_,193.26
_07721_,192.69
_09088_,192.64
_03029_,192.2
_02263_,192.06
_05552_,192.02
_01782_,191.98
_06563_,191.84
_01126_,191.69
_10750_,191.2
_01898_,190.91
_10774_,190.84
_07465_,190.7
_14354_,190.6
_00997_,190.585
_10908_,190.34
_01436_,190.27
_03279_,190.1
_07755_,189.94
_01421_,189.91
_10858_,189.735
_07845_,189.71
_08186_,189.49
_07657_,188.9
_09995_,188.88
_08856_,188.58
_01693_,188.46
