net,length_um
_02074_,39.91
_04179_,39.9
_04619_,39.9
_04574_,39.88
_10095_,39.88
_08024_,39.86
_09265_,39.86
_02451_,39.85
_09736_,39.84
_03073_,39.82
clknet_leaf_41_clk,39.82
_02174_,39.76
_03722_,39.76
_08516_,39.76
_10664_,39.74
_13229_,39.74
_03457_,39.72
_04432_,39.72
_06895_,39.72
_06930_,39.7
_06059_,39.68
_10888_,39.66
_14177_,39.64
_02122_,39.62
_06849_,39.62
_10693_,39.62
_11653_,39.615
_04662_,39.61
_10275_,39.56
_14303_,39.56
_01917_,39.54
_06708_,39.52
_11431_,39.505
_05897_,39.5
_07291_,39.5
_00632_,39.48
_04612_,39.48
_13337_,39.48
_09117_,39.46
_04756_,39.45
_09164_,39.4
_00554_,39.385
u_s1.delay_line_re\[4\]\[8\],39.38
_02103_,39.36
_01153_,39.34
_02589_,39.34
_04805_,39.34
_10950_,39.32
_12516_,39.32
_05071_,39.3
_08377_,39.3
_03368_,39.28
_05328_,39.28
_08974_,39.26
_11516_,39.26
_08972_,39.2
_07673_,39.18
_08043_,39.18
_02588_,39.16
_05245_,39.16
_07953_,39.16
_03140_,39.14
_07394_,39.115
_09438_,39.1
_11101_,39.1
_05519_,39.08
_11020_,39.08
_12517_,39.06
_05278_,39.04
_08173_,39.04
_09851_,38.98
_13341_,38.98
_06979_,38.96
_03773_,38.92
_04104_,38.91
_03396_,38.9
_01696_,38.87
_03427_,38.86
_12968_,38.85
_08121_,38.84
_00936_,38.78
_06135_,38.78
_13423_,38.78
u_s4.delay_line_im\[0\]\[8\],38.78
_01222_,38.77
_02141_,38.72
_03874_,38.7
_11693_,38.7
u_s1.delay_line_re\[5\]\[6\],38.7
_07873_,38.68
_13253_,38.68
_00555_,38.67
_02700_,38.66
_03350_,38.66
_04693_,38.66
_06717_,38.66
_07689_,38.66
_11165_,38.66
_04785_,38.64
_08990_,38.62
_13791_,38.6
_07535_,38.58
_07540_,38.58
_07665_,38.54
_01666_,38.505
_00871_,38.5
_07593_,38.5
_08300_,38.5
_08761_,38.5
_02940_,38.48
_05721_,38.48
_02431_,38.46
_09352_,38.46
_01448_,38.445
_04020_,38.42
_04579_,38.42
_13019_,38.36
_08261_,38.34
_04299_,38.31
_12803_,38.3
_07815_,38.28
_01381_,38.275
_05346_,38.26
_07422_,38.26
_03225_,38.24
_03316_,38.22
_09952_,38.22
_12412_,38.22
_03338_,38.16
_14179_,38.16
_14296_,38.16
_12085_,38.12
_11563_,38.095
_06582_,38.04
_07731_,38.04
_08014_,38.04
_11018_,38.04
_00761_,38.02
_02418_,38.02
_03721_,38
_08092_,38
_07862_,37.96
_13283_,37.96
_01878_,37.9
_03070_,37.9
_07762_,37.9
_09975_,37.9
_12195_,37.9
_06009_,37.88
_02536_,37.86
_08194_,37.855
_07608_,37.84
_07147_,37.82
_00576_,37.8
_01967_,37.8
_05880_,37.8
_08086_,37.78
_02759_,37.755
_05019_,37.75
_02052_,37.72
_03787_,37.72
_10770_,37.72
_13021_,37.72
_08277_,37.7
_11657_,37.7
_11997_,37.7
_07068_,37.65
_04672_,37.64
_05627_,37.64
_08060_,37.64
_05002_,37.6
_11543_,37.6
_10533_,37.59
_02530_,37.57
_03723_,37.52
_05379_,37.52
_04868_,37.49
_08290_,37.49
_02633_,37.48
_07698_,37.48
_12785_,37.48
_12819_,37.48
_06943_,37.46
_07303_,37.46
_01683_,37.435
_02329_,37.42
_11531_,37.42
_14423_,37.4
u_s1.delay_line_re\[5\]\[8\],37.38
_13387_,37.36
_08134_,37.34
_01689_,37.32
_00722_,37.3
_07212_,37.28
_05105_,37.24
_09849_,37.24
_00548_,37.22
_11340_,37.21
_08739_,37.2
_08819_,37.2
_13752_,37.19
_13819_,37.16
_01649_,37.14
_10349_,37.14
_13313_,37.14
_05339_,37.1
_13292_,37.1
u_s4.delay_line_im\[0\]\[12\],37.1
_01379_,37.06
_10630_,37.06
_03654_,37.03
_04070_,37.02
_04887_,37.02
_08841_,37.02
_11522_,37.02
_13642_,37.02
_02992_,37
_06528_,36.98
_08553_,36.98
_09034_,36.98
_14308_,36.96
_11405_,36.94
_12106_,36.92
_08556_,36.9
_09275_,36.9
_03358_,36.88
_01469_,36.86
_08667_,36.86
_02850_,36.84
_07619_,36.84
_13027_,36.84
_07674_,36.8
_11417_,36.8
_11868_,36.8
_05136_,36.795
_05921_,36.78
_06703_,36.78
_08998_,36.78
_12267_,36.78
_12303_,36.78
_10776_,36.76
_10940_,36.76
_10954_,36.76
_02572_,36.74
_10420_,36.74
_03274_,36.73
_05977_,36.66
u_s1.delay_line_im\[5\]\[15\],36.66
_04336_,36.64
_06569_,36.64
_07411_,36.64
_01423_,36.62
_07341_,36.62
_07434_,36.6
_08715_,36.6
_14473_,36.6
_04352_,36.52
_06181_,36.52
_09785_,36.52
_13363_,36.52
_08047_,36.5
_11600_,36.5
_05769_,36.48
_11534_,36.48
_06448_,36.45
_04434_,36.44
_08301_,36.41
_08639_,36.4
_09778_,36.4
_01422_,36.38
_04027_,36.38
_13323_,36.34
_06718_,36.32
_02181_,36.3
_07722_,36.28
_13153_,36.28
_13152_,36.26
_06298_,36.24
u_s1.delay_line_re\[6\]\[6\],36.24
_07456_,36.22
_12439_,36.22
_13667_,36.22
_12323_,36.19
_02247_,36.18
_05091_,36.18
_08164_,36.18
_09897_,36.14
_08687_,36.12
_01396_,36.1
_01107_,36.06
_01955_,36.02
_02282_,35.98
_02663_,35.98
_08385_,35.98
_11368_,35.98
_01969_,35.96
_14461_,35.96
_13848_,35.94
_09910_,35.92
_12974_,35.92
_02872_,35.9
_03493_,35.9
_13775_,35.9
_14333_,35.86
_03339_,35.82
_03834_,35.82
_05924_,35.82
_06908_,35.8
u_s1.delay_line_re\[6\]\[1\],35.78
_05435_,35.74
_10759_,35.74
_01724_,35.73
_01520_,35.72
_04004_,35.7
_07408_,35.69
_04289_,35.68
_07094_,35.68
_13302_,35.68
_10009_,35.66
_03053_,35.64
_14368_,35.64
_00982_,35.62
_02878_,35.62
_06045_,35.62
u_s4.delay_line_re\[0\]\[3\],35.62
_07464_,35.6
_12433_,35.6
_10984_,35.58
_00603_,35.52
_01653_,35.52
_08321_,35.52
_05490_,35.51
_07293_,35.51
_01664_,35.5
_00785_,35.48
_03299_,35.48
_04381_,35.48
_08386_,35.48
_11040_,35.48
u_s1.delay_line_re\[7\]\[8\],35.48
_03801_,35.46
_13817_,35.46
_12848_,35.44
_01586_,35.43
_02944_,35.425
_11015_,35.38
_07647_,35.36
_06241_,35.32
_02510_,35.3
_04807_,35.3
_07832_,35.28
u_s1.delay_line_re\[7\]\[7\],35.28
_01212_,35.26
_01403_,35.26
_06570_,35.26
_12547_,35.26
_04175_,35.24
_04665_,35.24
_08116_,35.22
_11404_,35.22
_11827_,35.22
_10516_,35.21
_02428_,35.18
_10675_,35.18
_06026_,35.16
_12843_,35.14
_08136_,35.12
_13503_,35.06
_14270_,35.06
_00524_,35.04
_02673_,35.04
_06269_,35.04
_07205_,35.04
_08517_,35.04
_04509_,35.02
_12563_,35.02
_11738_,35
_06768_,34.98
_11133_,34.98
_03878_,34.96
_12191_,34.96
clknet_leaf_57_clk,34.96
_04429_,34.94
_10754_,34.92
_08266_,34.9
_10919_,34.88
net111,34.88
_02457_,34.86
_03074_,34.86
_06713_,34.86
_00898_,34.84
u_s1.delay_line_re\[2\]\[0\],34.84
_02576_,34.82
_04154_,34.82
_02456_,34.8
_05536_,34.76
_08253_,34.76
_12423_,34.76
_13873_,34.72
_08117_,34.68
_09720_,34.68
_09805_,34.68
_14438_,34.68
_06409_,34.64
_11851_,34.64
_01173_,34.6
_14452_,34.58
_07936_,34.56
u_s1.delay_line_im\[1\]\[5\],34.56
_06627_,34.54
_10261_,34.52
_11105_,34.52
_13841_,34.52
_01708_,34.5
_07638_,34.48
_08670_,34.48
_06815_,34.46
_01791_,34.44
_13935_,34.44
_03317_,34.42
_10252_,34.42
_12747_,34.42
_02642_,34.4
_06128_,34.38
_12719_,34.38
_05321_,34.36
_13028_,34.34
_13555_,34.34
_13767_,34.34
_06402_,34.3
_03333_,34.26
_07466_,34.26
_10238_,34.24
_11383_,34.22
_12090_,34.22
_10102_,34.18
_04376_,34.17
_02201_,34.165
_13432_,34.16
_11898_,34.14
_13435_,34.14
_04583_,34.1
_11400_,34.1
_06052_,34.08
_13420_,34.08
_01345_,34.06
_03041_,34.02
_05108_,34
_14338_,34
_01410_,33.98
_05668_,33.98
u_s1.delay_line_re\[0\]\[6\],33.98
_10249_,33.96
_10303_,33.96
_10929_,33.94
_08029_,33.92
_09015_,33.92
_12823_,33.92
_13683_,33.92
_09186_,33.88
_04840_,33.84
_14273_,33.84
_11723_,33.82
_02535_,33.78
_04354_,33.78
u_s1.delay_line_im\[1\]\[1\],33.78
_03089_,33.76
_03515_,33.72
_04529_,33.72
_10224_,33.72
_14175_,33.7
_09527_,33.68
_02271_,33.66
_00933_,33.64
_01890_,33.64
_04058_,33.64
_05315_,33.64
_14413_,33.62
_01369_,33.6
_04213_,33.6
_11850_,33.6
_01316_,33.58
_03815_,33.56
_04076_,33.54
_05154_,33.54
_08165_,33.54
u_s1.delay_line_im\[1\]\[9\],33.54
_07305_,33.51
_07206_,33.5
_07765_,33.5
_12908_,33.5
_07715_,33.49
_06231_,33.48
_05220_,33.46
_08844_,33.46
_09249_,33.46
_12324_,33.46
_07664_,33.42
_09422_,33.42
_01591_,33.38
_04248_,33.38
_08207_,33.38
_01912_,33.36
_03298_,33.36
_03290_,33.34
_04147_,33.34
_09835_,33.305
_02640_,33.3
_05240_,33.28
_08913_,33.28
_12768_,33.28
_09657_,33.26
_12825_,33.26
_12833_,33.26
_02366_,33.22
_08384_,33.22
_14422_,33.22
_05486_,33.2
_11131_,33.2
u_s1.delay_line_re\[2\]\[2\],33.2
_06512_,33.18
_08394_,33.18
_11164_,33.18
_06034_,33.16
_05878_,33.12
_06023_,33.12
_02903_,33.11
_05989_,33.1
_02191_,33.08
_08917_,33.08
_12496_,33.07
_01071_,33.06
_10299_,33.06
_07654_,33.04
_08054_,33.04
_09009_,33.04
_09542_,33.04
_12238_,33.02
_13426_,33.02
_13740_,33.02
_04337_,33
_04683_,33
_05771_,32.98
_00755_,32.96
_03516_,32.96
_03876_,32.96
_04835_,32.96
_05027_,32.94
_09142_,32.94
_08110_,32.93
_07390_,32.925
_10400_,32.92
_09511_,32.91
_11180_,32.88
_13398_,32.88
_05748_,32.86
_00798_,32.855
_01424_,32.84
_01963_,32.84
_04187_,32.82
_05650_,32.82
_02427_,32.8
_03544_,32.78
_10116_,32.78
_12015_,32.76
_07560_,32.74
_08404_,32.74
_00602_,32.72
_06203_,32.72
_10519_,32.71
_01663_,32.7
_09158_,32.7
_00694_,32.68
_08452_,32.68
_01099_,32.66
_07604_,32.66
_11530_,32.62
_14467_,32.62
_02880_,32.6
_08363_,32.6
_08655_,32.6
_01336_,32.58
_08559_,32.58
_03381_,32.56
_03409_,32.56
_11896_,32.56
_13417_,32.56
_13826_,32.56
_05041_,32.54
_10129_,32.54
_08848_,32.52
_00885_,32.5
_06214_,32.5
_07070_,32.48
_09063_,32.48
_04151_,32.46
_09515_,32.46
_11762_,32.46
_12804_,32.46
_05673_,32.44
_08540_,32.44
_07713_,32.42
_09577_,32.42
clknet_leaf_26_clk,32.4
_06866_,32.39
_01886_,32.38
_01075_,32.34
_02960_,32.34
_02575_,32.32
u_s1.delay_line_re\[3\]\[2\],32.32
_13556_,32.31
_12898_,32.3
_11074_,32.295
_04855_,32.28
_13325_,32.275
_00782_,32.27
_07814_,32.26
_09472_,32.26
_10492_,32.26
_03932_,32.24
_08206_,32.24
_10059_,32.22
_03890_,32.2
_04977_,32.2
_05070_,32.2
_11797_,32.2
_13650_,32.18
_08091_,32.17
_10983_,32.16
_10247_,32.14
_13037_,32.12
_13293_,32.1
_04921_,32.08
_11575_,32.08
_12290_,32.08
_07130_,32.06
_08978_,32.06
_01360_,32.04
_06784_,32.04
_10410_,32
_13032_,32
_13327_,32
_14070_,32
u_s4.delay_line_im\[0\]\[7\],32
_06411_,31.98
_02441_,31.96
_05093_,31.94
_13317_,31.94
_04996_,31.92
_08465_,31.92
_13335_,31.92
_04171_,31.9
_12471_,31.88
_10250_,31.86
_01060_,31.84
_14489_,31.84
_10108_,31.81
_14206_,31.78
_04678_,31.76
_09970_,31.76
_13124_,31.76
_04817_,31.74
_05225_,31.72
_10405_,31.7
_13516_,31.7
_05474_,31.68
_03347_,31.66
_11553_,31.66
_12027_,31.65
_10241_,31.64
_10866_,31.64
_01470_,31.62
_01943_,31.62
_05749_,31.62
_07035_,31.62
_09405_,31.62
_02179_,31.58
_11349_,31.58
_10674_,31.54
_11635_,31.54
_00609_,31.5
_06102_,31.5
_11554_,31.5
_06138_,31.48
_08378_,31.48
_12752_,31.48
u_s1.delay_line_re\[5\]\[5\],31.465
_01595_,31.46
_04166_,31.46
_09050_,31.46
_12346_,31.46
_12972_,31.44
_09828_,31.42
_12014_,31.42
_06714_,31.4
_07155_,31.4
_00759_,31.38
_13179_,31.38
_06393_,31.36
_14228_,31.35
_06554_,31.34
_02429_,31.32
_02577_,31.32
_08084_,31.32
u_s1.delay_line_re\[2\]\[12\],31.32
u_s1.delay_line_re\[7\]\[1\],31.32
_06965_,31.3
_04003_,31.28
u_s2.phase_counter\[2\],31.28
_11029_,31.26
_14225_,31.26
_07228_,31.25
_03891_,31.24
_04243_,31.24
_01199_,31.22
_03708_,31.2
_04410_,31.2
_05739_,31.2
_05963_,31.2
_07746_,31.2
_08629_,31.2
_06623_,31.18
_08392_,31.18
u_s1.delay_line_im\[0\]\[4\],31.18
_09911_,31.175
_02090_,31.16
_02810_,31.16
_11732_,31.16
_01833_,31.14
_03777_,31.11
_13329_,31.11
_13543_,31.1
_02204_,31.08
_04797_,31.08
_06954_,31.06
_11654_,31.04
_14292_,31.04
_07812_,31.03
_03382_,31
_09311_,31
u_s1.delay_line_re\[1\]\[2\],31
_07515_,30.995
_10489_,30.99
_01863_,30.98
_08399_,30.96
_04844_,30.92
_05962_,30.92
_08802_,30.92
_07549_,30.9
_11556_,30.9
_12129_,30.9
_02097_,30.88
_02561_,30.88
_03425_,30.88
_05684_,30.88
_06830_,30.88
_04814_,30.86
_03191_,30.84
_05929_,30.84
_05628_,30.82
_10586_,30.82
_14186_,30.82
_01327_,30.78
_03705_,30.78
_08100_,30.78
_11181_,30.78
_11272_,30.78
_12548_,30.78
_12657_,30.78
_13814_,30.78
_14210_,30.78
_14268_,30.78
u_s4.delay_line_re\[0\]\[1\],30.78
_01531_,30.76
_02665_,30.76
_08826_,30.76
_07074_,30.74
_08120_,30.74
_02497_,30.72
_14244_,30.72
_04338_,30.7
_10259_,30.7
_14387_,30.7
_04105_,30.67
_04596_,30.66
_07912_,30.66
_08597_,30.66
_08941_,30.66
_11325_,30.66
_12920_,30.66
_05201_,30.62
_10225_,30.62
_11651_,30.62
_12510_,30.62
_02426_,30.58
_10568_,30.58
_10481_,30.56
_01525_,30.54
_02404_,30.54
_05436_,30.54
_11764_,30.54
_01751_,30.52
_03122_,30.46
_06012_,30.46
_08921_,30.46
_09506_,30.46
_12491_,30.46
_11433_,30.44
_12084_,30.44
_14378_,30.44
_14389_,30.44
_04029_,30.42
_06670_,30.42
_07793_,30.42
_07866_,30.4
_11508_,30.4
_07490_,30.36
_11806_,30.355
_08080_,30.35
_01867_,30.34
_08306_,30.34
net139,30.34
_01976_,30.32
_02686_,30.32
_10141_,30.32
_10330_,30.3
_05992_,30.28
_01956_,30.27
_01900_,30.26
_02395_,30.26
_10386_,30.26
u_s4.delay_line_re\[0\]\[13\],30.26
_10749_,30.24
_01305_,30.2
_02038_,30.2
_09630_,30.18
_04888_,30.17
_04412_,30.16
_04765_,30.16
_06337_,30.16
_07318_,30.16
_13305_,30.16
u_s1.delay_line_re\[6\]\[8\],30.16
_03648_,30.14
_11297_,30.14
u_s4.delay_line_re\[0\]\[12\],30.14
_01278_,30.12
_07867_,30.12
_11502_,30.12
_02868_,30.1
_09702_,30.1
_11174_,30.1
_12613_,30.1
_00584_,30.08
_02784_,30.08
_08487_,30.08
_07015_,30.06
_14476_,30.02
u_s1.delay_line_im\[4\]\[10\],30.02
_08699_,30
_11279_,29.98
_13223_,29.98
_02998_,29.96
_11634_,29.95
_11889_,29.92
_06001_,29.9
_08228_,29.9
_08369_,29.9
_03083_,29.88
_07660_,29.88
_07929_,29.87
_04511_,29.86
_04981_,29.86
_11156_,29.86
_13809_,29.86
_01511_,29.84
_08090_,29.84
_09483_,29.82
_02746_,29.8
_06150_,29.78
_12348_,29.78
_00924_,29.76
_12574_,29.76
_14107_,29.76
_03871_,29.74
_07412_,29.74
_12673_,29.74
_13299_,29.74
_02336_,29.72
_01559_,29.7
_04095_,29.68
_06611_,29.68
u_s4.delay_line_re\[0\]\[8\],29.68
_03098_,29.66
_11904_,29.66
_04993_,29.64
_07686_,29.64
_13867_,29.62
_14400_,29.62
u_s4.delay_line_re\[0\]\[4\],29.62
_02203_,29.6
_04469_,29.58
_07782_,29.58
_09735_,29.58
_09981_,29.58
_12442_,29.58
_13649_,29.58
_07756_,29.54
_08131_,29.54
_08184_,29.52
_10264_,29.52
_08213_,29.5
_13350_,29.5
_03138_,29.49
_03819_,29.48
u_s1.delay_line_re\[1\]\[1\],29.48
_01936_,29.46
u_s1.delay_line_re\[6\]\[7\],29.46
_00525_,29.42
_03889_,29.42
_06441_,29.42
_12536_,29.42
_02417_,29.4
_08343_,29.4
_13651_,29.4
_08089_,29.38
_09564_,29.36
_10556_,29.36
_12985_,29.34
_01798_,29.32
_06318_,29.32
_11422_,29.3
u_s1.delay_line_im\[7\]\[0\],29.3
_13422_,29.285
_00743_,29.28
_00787_,29.28
_10715_,29.28
u_s4.delay_line_re\[0\]\[2\],29.28
_13442_,29.26
_14295_,29.26
_02671_,29.24
_11537_,29.24
_06839_,29.22
_07988_,29.21
_02069_,29.2
_02569_,29.2
_04232_,29.2
_06131_,29.195
_13010_,29.18
_13574_,29.18
_00702_,29.16
_00907_,29.16
_11974_,29.16
_12915_,29.16
_11593_,29.15
_03961_,29.14
_03445_,29.12
_09919_,29.1
_04280_,29.08
_02500_,29.06
_11879_,29.06
_01030_,29.04
_05663_,29.04
_06835_,29.04
_08483_,29.04
_13042_,29.04
_07294_,29.02
_09162_,29
_10799_,29
_10956_,29
u_s1.delay_line_im\[2\]\[5\],29
_11503_,28.96
_11680_,28.96
_12111_,28.96
_04849_,28.94
_05424_,28.94
_08504_,28.92
_11578_,28.915
u_s1.delay_line_re\[3\]\[0\],28.915
_05111_,28.895
_01744_,28.86
_03361_,28.86
_03578_,28.86
_05076_,28.86
_13704_,28.86
_06933_,28.84
_03641_,28.82
_09775_,28.82
_03141_,28.8
_05129_,28.8
_08785_,28.8
_10123_,28.8
_03042_,28.78
_04763_,28.78
_04486_,28.76
_10599_,28.76
_00932_,28.74
_01042_,28.72
_06036_,28.72
_07904_,28.72
_01825_,28.7
_10523_,28.7
_01378_,28.68
_08459_,28.66
_13825_,28.65
_02957_,28.64
_04710_,28.64
_11232_,28.625
_01866_,28.62
_01152_,28.6
_12229_,28.6
_12963_,28.6
_06213_,28.58
_09383_,28.58
_12039_,28.57
_03979_,28.56
_07648_,28.56
u_s1.delay_line_re\[5\]\[7\],28.56
u_s4.delay_line_im\[0\]\[1\],28.54
_03560_,28.52
_13523_,28.52
_06306_,28.48
_08268_,28.48
_12810_,28.48
_00649_,28.46
_01593_,28.46
_10995_,28.46
_05952_,28.44
u_s1.delay_line_im\[7\]\[1\],28.44
_07132_,28.42
_08780_,28.42
_02861_,28.4
u_s1.delay_line_re\[7\]\[5\],28.4
_07231_,28.38
_09345_,28.34
_00652_,28.33
_00665_,28.32
_06820_,28.32
_01577_,28.315
_11468_,28.3
_08141_,28.28
_09289_,28.28
_00642_,28.24
_02606_,28.24
_04568_,28.24
_11240_,28.24
_13412_,28.24
_14377_,28.24
_05784_,28.23
_02972_,28.225
_01420_,28.2
_04327_,28.2
u_s4.delay_line_im\[0\]\[2\],28.2
_04912_,28.18
_04362_,28.16
_04514_,28.16
_05449_,28.16
_08538_,28.16
_11926_,28.16
u_s1.delay_line_im\[5\]\[0\],28.16
u_s4.phase_counter\[0\],28.16
_01101_,28.14
_03204_,28.14
_04991_,28.14
_05979_,28.14
_10321_,28.115
_09677_,28.08
_06878_,28.06
_04351_,28.04
_08389_,28.02
_11099_,28.02
_14359_,28.02
_03869_,28
_12805_,28
_06179_,27.98
_12149_,27.98
_01195_,27.97
_00567_,27.96
_02826_,27.94
_06499_,27.94
_07410_,27.94
u_s1.delay_line_re\[7\]\[14\],27.94
u_s4.delay_line_re\[0\]\[0\],27.94
_08853_,27.92
u_s1.delay_line_re\[2\]\[6\],27.92
_05689_,27.9
_06980_,27.9
_09124_,27.9
_03619_,27.88
_06177_,27.88
_12425_,27.88
_12447_,27.88
_10948_,27.86
_09216_,27.855
_07618_,27.85
_05980_,27.84
_11434_,27.84
_13168_,27.84
_00794_,27.8
_13914_,27.8
_05030_,27.79
_02164_,27.78
_08079_,27.78
_14426_,27.78
_00731_,27.76
u_s1.delay_line_re\[0\]\[8\],27.76
_05603_,27.74
_11293_,27.7
_00804_,27.68
_03822_,27.68
_08702_,27.66
_13397_,27.66
_03680_,27.65
_00656_,27.62
_11946_,27.62
_03780_,27.615
_07169_,27.61
u_s1.delay_line_im\[1\]\[10\],27.58
_07338_,27.575
_02406_,27.56
clknet_leaf_46_clk,27.56
_03541_,27.555
_03539_,27.54
u_s1.delay_line_im\[2\]\[11\],27.54
_02291_,27.52
_03575_,27.52
_04451_,27.52
_05265_,27.52
_05947_,27.52
_12492_,27.52
_03546_,27.5
_02945_,27.49
_03749_,27.48
_10924_,27.46
_11448_,27.46
_13784_,27.46
_01080_,27.44
_09135_,27.44
_01578_,27.42
_04073_,27.42
_07116_,27.42
_08241_,27.42
clknet_leaf_42_clk,27.4
_02931_,27.38
_12395_,27.38
_14200_,27.38
_12943_,27.36
_02703_,27.35
_03498_,27.34
_03488_,27.32
_07558_,27.32
_01149_,27.28
_03896_,27.28
_06732_,27.28
_11863_,27.28
_12148_,27.28
_12758_,27.28
_01650_,27.26
_02859_,27.26
_07182_,27.26
_11311_,27.26
_10144_,27.25
_01761_,27.24
_11725_,27.24
_00993_,27.22
_06495_,27.22
_08140_,27.22
_13081_,27.22
_03059_,27.2
_12864_,27.2
_03879_,27.18
_05388_,27.18
_11836_,27.16
_05598_,27.15
_05140_,27.14
_03612_,27.12
_06378_,27.12
_06566_,27.12
_12028_,27.12
_06389_,27.1
u_s1.delay_line_re\[1\]\[6\],27.1
_05022_,27.08
_04974_,27.065
_01964_,27.06
_02280_,27.06
_08539_,27.06
u_s1.delay_ptr\[0\],27.06
_04495_,27.05
_02420_,27.04
_04641_,27.04
_12692_,27.025
_02709_,27.02
_03320_,27.02
_05166_,27.02
_10187_,27.02
_12599_,27.02
_03864_,27
_08097_,27
_09522_,27
_09686_,26.98
_11848_,26.98
_04870_,26.94
_09386_,26.94
_10679_,26.94
_08420_,26.92
_04701_,26.9
_04832_,26.86
_06049_,26.86
_07725_,26.86
u_s4.delay_line_im\[0\]\[11\],26.84
_09641_,26.82
_13228_,26.82
_02969_,26.78
_12158_,26.76
_09991_,26.75
_01181_,26.74
_02643_,26.74
_04556_,26.74
_05162_,26.74
_09351_,26.74
_03023_,26.72
_10969_,26.72
_12958_,26.72
_00946_,26.7
_04477_,26.7
_07659_,26.7
_11573_,26.7
_08632_,26.68
_02039_,26.66
_03392_,26.64
_11089_,26.64
_13795_,26.64
u_s1.delay_line_re\[1\]\[9\],26.64
_10404_,26.62
_11546_,26.62
_11798_,26.62
u_s1.delay_line_im\[0\]\[11\],26.62
u_s1.delay_line_im\[7\]\[2\],26.62
_00742_,26.615
_01091_,26.615
_06490_,26.6
_12445_,26.6
_04759_,26.58
_02140_,26.56
_05522_,26.56
_09055_,26.56
_14213_,26.56
_14457_,26.56
_08613_,26.54
_06642_,26.52
_09145_,26.52
_10100_,26.52
_10282_,26.52
_12621_,26.52
_00639_,26.5
u_s1.delay_line_im\[3\]\[4\],26.5
u_s4.delay_line_im\[0\]\[15\],26.5
_06033_,26.48
_10194_,26.48
_12161_,26.46
_13409_,26.46
_04664_,26.44
_08007_,26.44
_13467_,26.44
u_s2.delay_line_im\[0\]\[10\],26.44
_03190_,26.42
_11082_,26.42
_13595_,26.42
u_s2.delay_line_im\[0\]\[5\],26.42
_12398_,26.415
_10124_,26.4
_14328_,26.4
u_s1.delay_line_re\[1\]\[11\],26.4
_01300_,26.38
_01324_,26.38
_02438_,26.38
_03389_,26.38
_03763_,26.38
_06746_,26.38
_08833_,26.38
_09929_,26.38
_01427_,26.36
_02739_,26.36
_06281_,26.36
_07642_,26.36
_11391_,26.36
_12777_,26.36
_11112_,26.355
_02852_,26.34
u_s1.delay_line_re\[3\]\[6\],26.325
_08262_,26.32
_09504_,26.32
_12209_,26.32
_01757_,26.3
_11268_,26.28
_11985_,26.28
_11828_,26.27
_00531_,26.26
_02630_,26.26
_11643_,26.26
_13840_,26.26
_03391_,26.24
_10001_,26.24
_10364_,26.24
_13255_,26.22
_14492_,26.22
_11712_,26.2
_07351_,26.18
_01733_,26.16
_04217_,26.16
_08101_,26.16
_08242_,26.16
_03466_,26.14
_06275_,26.14
_08196_,26.14
_10394_,26.14
_11461_,26.14
_11703_,26.14
_14381_,26.14
_00527_,26.12
_01869_,26.12
_07237_,26.12
_09933_,26.12
_05234_,26.1
_08573_,26.1
_07135_,26.095
_01337_,26.06
_13748_,26.06
_05546_,26.04
_11289_,26.04
_05905_,26.02
_08801_,26.02
_09665_,26.02
_10447_,26.02
_13070_,26.02
u_s2.delay_line_im\[0\]\[3\],26.02
_11476_,25.99
_06665_,25.98
_11120_,25.98
_10465_,25.96
_12362_,25.96
_08183_,25.94
_10650_,25.94
u_s1.delay_line_re\[3\]\[13\],25.94
_08510_,25.93
_01868_,25.92
_11704_,25.92
_12578_,25.92
_13058_,25.92
_03288_,25.9
_00672_,25.88
u_s1.delay_line_re\[4\]\[14\],25.88
_06538_,25.87
_07927_,25.86
_10629_,25.84
_12813_,25.84
_01704_,25.8
_02513_,25.8
_11916_,25.8
_00658_,25.76
_09498_,25.76
_11701_,25.76
_12196_,25.76
u_s1.delay_line_re\[0\]\[7\],25.76
_00837_,25.74
_07902_,25.74
_01647_,25.72
_01961_,25.72
_09319_,25.72
_11821_,25.72
_12265_,25.72
_08222_,25.7
_10248_,25.7
_12344_,25.7
_04519_,25.68
_07469_,25.68
_08482_,25.68
_01543_,25.665
_01219_,25.655
_03116_,25.64
_05123_,25.64
_05549_,25.64
_06262_,25.64
_06914_,25.64
_07751_,25.64
_09803_,25.64
_04253_,25.62
_12965_,25.62
_03698_,25.605
_02289_,25.6
_05359_,25.6
_08271_,25.6
_13668_,25.6
_08224_,25.58
_09449_,25.575
_02729_,25.56
_03296_,25.56
_08437_,25.56
_02817_,25.54
_03297_,25.54
_07852_,25.52
_12615_,25.5
_14341_,25.5
_02149_,25.48
_08209_,25.48
_10638_,25.48
_12431_,25.48
_03032_,25.44
_05314_,25.44
_11568_,25.44
_03938_,25.42
_06655_,25.42
_12713_,25.4
u_s1.delay_line_im\[2\]\[12\],25.4
_02396_,25.38
_02518_,25.38
_10377_,25.38
_10499_,25.38
_02956_,25.36
_03139_,25.36
_06975_,25.36
_03545_,25.34
_04008_,25.32
_00532_,25.3
_03775_,25.3
_05316_,25.3
_06377_,25.3
_11016_,25.3
_11511_,25.28
u_s1.delay_line_im\[7\]\[15\],25.28
_05145_,25.26
_09228_,25.26
_09634_,25.26
_10618_,25.26
_12120_,25.25
